category,P-AUROC,P-AUPR
audiojack,0.3509,0.1743
bottle_cap,0.1068,0.0831
button_battery,0.444,0.4107
end_cap,0.4568,0.0282
eraser,0.3725,0.1982
fire_hood,0.3589,0.1918
mint,0.4523,0.1157
mounts,0.4063,0.1828
pcb,0.4598,0.1893
phone_battery,0.6041,0.4953
plastic_nut,0.2458,0.0681
plastic_plug,0.4169,0.0829
porcelain_doll,0.1811,0.1293
regulator,0.2358,0.0813
rolled_strip_base,0.2632,0.1562
sim_card_set,0.8432,0.1641
switch,0.3101,0.404
tape,0.1282,0.0878
terminalblock,0.358,0.196
toothbrush,0.5329,0.1915
toy,0.509,0.0453
toy_brick,0.7763,0.1818
transistor1,0.3799,0.2305
u_block,0.1954,0.1298
usb,0.4262,0.185
usb_adaptor,0.3901,0.0377
vcpill,0.3611,0.5255
wooden_beads,0.4083,0.2663
woodstick,0.8639,0.2351
zipper,0.5911,0.5334
